State,Day 0,Population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Nevada,5-Mar,3080156,1,1,1,1,1,1,5,7,11,20,21,45,55,55,95,109,124,190,245,278,321,420,535,621,738,1008,1113,1279,1458,1514,1742,1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,2-Mar,1359711,1,2,2,2,2,2,4,4,4,4,6,6,7,13,13,17,26,39,44,55,65,78,101,108,137,158,187,214,314,314,415,415,479,540,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,4-Mar,8882190,1,1,4,6,11,15,24,30,50,50,98,178,267,427,742,890,1327,1914,2844,3675,4402,6876,8825,11124,13386,16636,18696,22255,25590,29895,34124,37505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,11-Mar,2096829,3,5,10,10,13,17,23,28,35,43,57,57,65,83,100,112,136,191,237,237,281,315,363,403,495,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,1-Mar,19453561,1,1,2,11,22,33,76,105,142,173,216,216,421,524,729,950,1700,2382,4152,7102,10356,15168,20875,25665,30811,37258,44635,52318,59513,66497,75795,83712,92381,102863,113704,122031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,3-Mar,10488084,1,1,1,2,2,2,2,7,7,12,15,23,32,33,40,63,97,137,184,255,297,398,504,636,763,935,1040,1307,1498,1584,1857,2093,2402,2585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,12-Mar,762062,1,1,1,1,1,3,6,15,20,28,28,30,34,39,52,65,83,98,109,126,142,159,173,186,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,28-Mar,57476,2,2,2,2,6,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,9-Mar,11689100,3,3,4,5,13,13,36,50,67,88,119,169,247,351,442,564,704,867,1137,406,1653,1933,2199,2547,2902,3312,3739,4043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,7-Mar,3956971,1,1,1,2,2,3,3,4,9,10,17,29,44,49,53,67,81,106,164,248,322,377,429,481,565,719,879,988,1159,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,28-Feb,4217737,1,1,2,3,3,3,3,3,7,14,14,15,19,19,30,30,36,39,47,75,88,114,114,161,191,209,209,327,414,479,548,606,690,690,736,826,899,899,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,6-Mar,12801989,2,2,4,7,12,15,22,33,47,63,76,96,133,185,268,371,479,644,851,1127,1687,2218,2751,3394,4087,4843,5805,7016,8420,10017,11510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,13-Mar,3193694,3,3,4,5,5,5,5,14,21,23,31,39,51,64,79,100,127,174,239,286,316,378,452,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,7-Mar,1059361,2,3,3,3,5,5,14,20,20,21,21,33,33,54,66,83,106,106,124,165,165,203,294,408,488,566,657,711,806,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,7-Mar,5148714,2,2,7,7,9,10,12,13,19,28,33,60,60,81,152,195,299,299,424,456,456,539,774,925,1083,1293,1554,1554,1917,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,11-Mar,884659,5,8,9,9,9,10,11,11,11,14,14,21,28,30,41,46,58,68,90,101,108,129,165,187,212,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,5-Mar,6833793,1,1,1,3,3,7,7,18,26,32,39,52,73,98,154,228,371,505,615,667,784,957,1203,1373,1537,1834,2239,2683,2845,3067,3321,3633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,4-Mar,28995881,1,1,5,8,8,12,13,21,23,39,51,56,57,64,83,143,194,304,334,352,410,974,1396,1731,2052,2552,2877,3266,3997,4669,5330,6110,6812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,7-Mar,3205958,1,1,1,2,2,4,6,6,28,39,51,63,78,112,136,181,257,299,346,402,480,602,719,806,887,1012,1074,1246,1428,1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,8-Mar,623989,1,1,1,1,2,2,4,4,8,10,19,22,29,29,52,75,95,123,158,184,211,235,256,293,321,338,389,461,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
